Date,Open,High,Low,Close
08/20/2020,"0.0034","0.0035","0.0034","0.0034"
08/19/2020,"0.0035","0.0035","0.0033","0.0034"
08/18/2020,"0.0036","0.0037","0.0034","0.0035"
08/17/2020,"0.0035","0.0038","0.0035","0.0036"
08/16/2020,"0.0035","0.0036","0.0034","0.0035"
08/15/2020,"0.0036","0.0036","0.0035","0.0035"
08/14/2020,"0.0035","0.0036","0.0034","0.0036"
08/13/2020,"0.0035","0.0035","0.0033","0.0035"
08/12/2020,"0.0033","0.0035","0.0033","0.0035"
08/11/2020,"0.0035","0.0036","0.0033","0.0034"
08/10/2020,"0.0035","0.0036","0.0034","0.0035"
08/09/2020,"0.0035","0.0035","0.0034","0.0035"
08/08/2020,"0.0035","0.0035","0.0034","0.0035"
08/07/2020,"0.0036","0.0036","0.0034","0.0035"
08/06/2020,"0.0035","0.0036","0.0035","0.0035"
08/05/2020,"0.0036","0.0036","0.0035","0.0035"
08/04/2020,"0.0034","0.0036","0.0034","0.0036"
08/03/2020,"0.0033","0.0035","0.0033","0.0034"
08/02/2020,"0.0037","0.0037","0.0033","0.0033"
08/01/2020,"0.0032","0.0039","0.0032","0.0037"
07/31/2020,"0.0032","0.0032","0.0031","0.0032"
07/30/2020,"0.0032","0.0032","0.0031","0.0032"
07/29/2020,"0.0032","0.0033","0.0031","0.0032"
07/28/2020,"0.0032","0.0032","0.0031","0.0032"
07/27/2020,"0.0032","0.0032","0.0030","0.0032"
07/26/2020,"0.0033","0.0033","0.0032","0.0032"
07/25/2020,"0.0032","0.0033","0.0032","0.0033"
07/24/2020,"0.0033","0.0033","0.0032","0.0032"
07/23/2020,"0.0033","0.0034","0.0032","0.0033"
07/22/2020,"0.0033","0.0033","0.0032","0.0033"
07/21/2020,"0.0032","0.0033","0.0032","0.0033"
07/20/2020,"0.0034","0.0034","0.0031","0.0032"
07/19/2020,"0.0035","0.0038","0.0033","0.0034"
07/18/2020,"0.0030","0.0037","0.0030","0.0035"
07/17/2020,"0.0030","0.0031","0.0029","0.0031"
07/16/2020,"0.0031","0.0031","0.0029","0.0030"
07/15/2020,"0.0033","0.0034","0.0030","0.0031"
07/14/2020,"0.0031","0.0034","0.0030","0.0033"
07/13/2020,"0.0036","0.0036","0.0026","0.0032"
07/12/2020,"0.0038","0.0038","0.0036","0.0036"
07/11/2020,"0.0035","0.0040","0.0035","0.0038"
07/10/2020,"0.0043","0.0044","0.0023","0.0035"
07/09/2020,"0.0048","0.0051","0.0040","0.0043"
07/08/2020,"0.0031","0.0060","0.0031","0.0047"
07/07/2020,"0.0026","0.0033","0.0026","0.0031"
07/06/2020,"0.0023","0.0026","0.0023","0.0026"
07/05/2020,"0.0023","0.0024","0.0023","0.0023"
07/04/2020,"0.0023","0.0023","0.0023","0.0023"
07/03/2020,"0.0023","0.0023","0.0023","0.0023"
07/02/2020,"0.0023","0.0024","0.0023","0.0023"
07/01/2020,"0.0023","0.0024","0.0023","0.0024"
06/30/2020,"0.0023","0.0024","0.0023","0.0023"
