,open,high,low,subjectivity,polarity,compound,negative,neutral,positive
307,207.413773,212.04184,202.252899,1.0,-0.25,0.9828,0.0,0.9,0.1
308,213.84086563265305,214.76620702040816,213.3762839183673,1.0,-0.25,0.9517,0.0,0.885,0.115
309,214.44519583673468,214.89597251020407,213.75376540816325,1.0,-0.25,0.8668,0.0,0.905,0.095
310,221.74154191836732,222.45333122448977,221.1696273673469,1.0,-0.25,0.5766,0.0,0.952,0.048
311,220.05756757142856,220.57627132653064,219.4914728979592,1.0,-0.25,0.4588,0.0,0.966,0.034
312,230.25328324489797,231.49765885714285,229.57007922448977,0.0,0.0,0.0,0.0,1.0,0.0
313,223.2764995510204,223.8927493673469,222.2895153265306,0.0,0.0,0.4588,0.0,0.967,0.033
314,213.60119685714284,214.24314967346936,212.37869330612244,1.0,-0.25,0.9719,0.0,0.862,0.138
315,208.92939116326528,209.71642516326528,207.926594,1.0,-0.25,0.9882,0.0,0.876,0.124
316,202.21926508163267,202.7403354489796,200.57861069387755,1.0,-0.25,0.8947,0.0,0.931,0.069
317,184.86090320408164,185.6346039591837,183.80560902040816,0.0,0.0,0.9325,0.0,0.922,0.078
318,189.9465529591837,191.03005083673472,189.4488213265306,1.0,-0.25,0.7184,0.0,0.926,0.074
319,198.21026818367343,198.7139998163265,197.31039871428567,0.0,0.0,0.4588,0.0,0.939,0.061
320,187.9867691632653,188.58770275510204,186.67488118367348,0.0,0.0,0.9325,0.0,0.922,0.078
321,188.52431097959183,189.60766351020408,187.7500922653061,0.0,0.0,0.0,0.0,1.0,0.0
322,188.50826095918367,189.01251693877552,187.7231582040816,0.0,0.0,0.4588,0.0,0.914,0.086
323,186.97898077551025,187.41782002040816,186.4147536938776,0.0,0.0,0.7184,0.0,0.903,0.097
324,183.231744877551,183.7171607755102,182.0017471020408,0.0,0.0,0.0,0.0,1.0,0.0
325,169.44344273469386,169.99829385714284,168.48512036734695,1.0,-0.25,0.9793,0.0,0.861,0.139
326,170.88364091836735,171.27911946938775,170.38043430612245,1.0,-0.25,0.9763,0.0,0.806,0.194
327,177.19228548979592,177.7029917755102,176.51153802040815,1.0,-0.25,0.919,0.0,0.945,0.055
328,173.0731893469388,173.54742673469386,172.48932297959183,1.0,-0.25,0.981,0.01,0.834,0.156
329,180.90332336734693,181.46619246938772,180.269029,0.0,0.0,0.9776,0.0,0.826,0.174
330,179.37868542857143,179.68649573469386,178.98004177551022,0.0,0.0,0.9255,0.0,0.898,0.102
331,182.92860365306123,183.5738148979592,182.5918817959184,0.0,0.0,0.9729,0.0,0.896,0.104
332,201.97111757142855,203.2863663061225,201.41786704081636,0.0,0.0,0.0,0.0,1.0,0.0
333,212.5167468979592,213.4945204489796,211.61980812244897,0.0,0.0,0.9509,0.0,0.932,0.068
334,208.0545553265306,208.56674520408163,206.85218853061224,0.0,0.0,0.0,0.0,1.0,0.0
335,191.02004259183676,192.11205202040816,187.90505679591837,1.0,-0.25,0.9474,0.0,0.934,0.066
336,166.86912065306123,167.76780902040818,165.47735357142858,0.0,0.0,0.0,0.0,1.0,0.0
337,169.77842340816326,170.40122897959182,168.7491366530612,0.0,0.0,0.0,0.0,1.0,0.0
338,172.48023161224492,173.6435144489796,171.70442053061225,0.0,0.0,0.0,0.0,1.0,0.0
339,179.10079840816326,180.03215371428573,177.97515618367348,0.0,0.0,0.8402,0.0,0.961,0.039
340,176.31110326530612,177.06155359183674,175.76110763265305,1.0,-0.25,0.9742,0.0,0.884,0.116
341,176.1231368367347,176.55284102040815,175.24489528571428,0.0,0.0,0.4588,0.0,0.974,0.026
342,174.7779272244898,175.3951444489796,174.19089973469386,0.0,0.0,0.7184,0.0,0.85,0.15
343,174.9384963265306,175.4400661632653,174.3081543877551,1.0,-0.25,0.9461,0.0,0.901,0.099
344,173.10743632653063,173.62050097959184,172.32346477551022,1.0,-0.25,0.9861,0.0,0.801,0.199
345,180.4941501632653,181.1369381632653,179.81537534693877,1.0,-0.25,0.8402,0.0,0.921,0.079
346,185.5591081836735,186.7740916530612,184.9193559591837,1.0,-0.25,0.9638,0.0,0.918,0.082
347,185.70838920408164,186.39507759183675,184.46105785714283,0.0,0.0,0.9776,0.0,0.889,0.111
348,182.38232708163267,182.97397726530613,181.8133639387755,0.0,0.0,0.9567,0.0,0.911,0.089
349,182.07676148979596,182.64644718367347,181.5979011020408,0.0,0.0,0.0,0.0,1.0,0.0
350,183.53935659183676,184.1759922244898,183.1659648367347,1.0,-0.25,0.7739,0.0,0.956,0.044
351,183.0709602244898,183.51734432653063,182.1535262040817,1.0,-0.25,0.7184,0.0,0.951,0.049
352,176.9084435714286,177.27956346938774,176.16069720408163,1.0,0.0,0.9517,0.0,0.908,0.092
353,172.6903968367347,173.19098430612246,172.10194804081632,0.0,0.0,0.4588,0.0,0.956,0.044
354,172.29111759183675,172.8571161020408,171.8757290612245,0.0,0.0,0.7184,0.0,0.957,0.043
355,174.35193367346938,174.7624842857143,173.8362806122449,1.0,-0.25,0.9793,0.0,0.754,0.246
356,164.4690367755102,164.92225669387756,163.24680459183674,0.0,0.0,0.906,0.0,0.9,0.1
357,168.56734108163266,170.2510228979592,168.02624528571428,1.0,-0.25,0.9567,0.0,0.857,0.143
358,182.1025932244898,183.82066336734687,180.4839551836735,0.0,0.0,0.9049,0.0,0.895,0.105
359,186.2389873469388,187.32258685714285,185.60702785714287,0.0,0.0,0.0,0.0,1.0,0.0
360,181.39170808163263,181.93632057142855,180.82029587755105,1.0,-0.25,0.9799,0.0,0.798,0.202
361,182.94914608163268,183.3567133469388,182.5658707755102,1.0,-0.25,0.9871,0.0,0.911,0.089
362,182.0021393265306,182.3570248163265,181.50200297959185,0.0,0.0,0.0,0.0,1.0,0.0
363,183.67834757142856,184.2918966122449,183.37595120408164,1.0,-0.25,0.9777,0.0,0.898,0.102
364,190.40884683673468,191.0921888979592,189.94403426530613,1.0,-0.25,0.9818,0.0,0.888,0.112
365,187.8062102653061,188.201451,187.13238777551015,0.0,0.0,0.8402,0.0,0.964,0.036
366,185.0478422653061,185.47420365306124,184.39676259183676,0.0,0.0,0.0,0.0,1.0,0.0
367,187.19496651020407,187.80613487755105,186.78299557142856,1.0,-0.25,0.9818,0.0,0.894,0.106
368,187.04863122448975,187.33486581632653,186.46931263265307,1.0,-0.25,0.9677,0.0,0.916,0.084
369,186.93872097777776,187.37581953333333,186.5966209555556,1.0,-0.2708333333333333,0.9585,0.0,0.911,0.089
370,185.6218878979592,185.96968567346937,185.1029039591837,0.0,0.0,0.9001,0.0,0.942,0.058
