,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
1299,3561.4,3587.0,3539.7,1,1,1,1,1,1,2019-01-24
1300,3574.3,3582.6,3542.2,1,1,1,1,1,1,2019-01-25
1301,3572.0,3652.5,3556.1,1,1,1,1,1,1,2019-01-26
1302,3570.9,3583.2,3509.2,1,1,1,1,1,1,2019-01-27
1303,3555.8,3561.2,3395.7,1,1,1,1,1,1,2019-01-28
1304,3442.8,3450.1,3368.2,1,1,1,1,1,1,2019-01-29
1305,3414.6,3479.0,3394.2,1,1,1,1,1,1,2019-01-30
1306,3460.0,3484.7,3427.0,1,1,1,1,1,1,2019-01-31
1307,3437.7,3485.7,3415.3,1,1,1,1,1,1,2019-02-01
1308,3467.9,3514.5,3447.8,1,1,1,1,1,1,2019-02-02
1309,3502.3,3507.8,3431.3,1,1,1,1,1,1,2019-02-03
1310,3459.0,3479.7,3437.1,1,1,1,1,1,1,2019-02-04
1311,3463.0,3485.9,3450.3,1,1,1,1,1,1,2019-02-05
1312,3468.5,3478.0,3383.9,1,1,1,1,1,1,2019-02-06
1313,3404.9,3421.8,3390.3,1,1,1,1,1,1,2019-02-07
1314,3397.3,3721.1,3382.5,1,1,1,1,1,1,2019-02-08
1315,3661.6,3675.3,3633.2,1,1,1,1,1,1,2019-02-09
1316,3661.0,3680.6,3617.1,1,1,1,1,1,1,2019-02-10
1317,3678.8,3681.1,3623.8,1,1,1,1,1,1,2019-02-11
1318,3631.8,3656.4,3594.4,1,1,1,1,1,1,2019-02-12
1319,3632.0,3663.5,3599.2,1,1,1,1,1,1,2019-02-13
1320,3611.5,3624.5,3580.2,1,1,1,1,1,1,2019-02-14
1321,3592.6,3648.3,3581.4,1,1,1,1,1,1,2019-02-15
1322,3604.7,3641.9,3599.7,1,1,1,1,1,1,2019-02-16
1323,3616.8,3689.9,3607.9,1,1,1,1,1,1,2019-02-17
1324,3664.2,3903.7,3655.1,1,1,1,1,1,1,2019-02-18
1325,3896.4,3993.8,3863.7,1,1,1,1,1,1,2019-02-19
1326,3914.3,3983.6,3881.2,1,1,1,1,1,1,2019-02-20
1327,3972.0,4011.5,3909.2,1,1,1,1,1,1,2019-02-21
1328,3937.4,3983.1,3931.7,1,1,1,1,1,1,2019-02-22
1329,3965.2,4152.6,3939.4,1,1,1,1,1,1,2019-02-23
1330,4120.5,4194.2,3738.7,1,1,1,1,1,1,2019-02-24
1331,3755.7,3870.7,3753.8,1,1,1,1,1,1,2019-02-25
1332,3833.5,3845.5,3775.0,1,1,1,1,1,1,2019-02-26
1333,3810.3,3836.4,3701.9,1,1,1,1,1,1,2019-02-27
